,Downloaded,pos_x,pos_y,pos_z,cm_x,cm_y,cm_z,mass,sfr,halfmassrad,m_stars,Z_gas,m_gas
383266,0,30714.6,32119.7,7986.58,30717.0,32138.0,7981.62,21.138,3.89742,53.133,0.417173,0.0180139,2.72011
383518,0,30264.4,23495.9,33184.1,30266.4,23512.4,33176.3,25.6091,4.2779,52.222,0.656269,0.0132286,3.37296
383748,0,12456.6,15280.2,29999.2,12451.2,15276.5,29997.1,29.422,5.14091,53.3293,0.892866,0.0220479,3.20647
383914,0,22368.9,27186.7,24450.4,22346.0,27173.4,24432.5,16.5419,1.27244,49.7544,0.503509,0.0234958,2.949
384110,0,24324.3,11955.0,16248.8,24333.0,11937.4,16248.3,22.037,1.73728,60.552,0.304281,0.0186041,2.96988
384419,0,22081.7,16201.5,3847.03,22082.9,16201.9,3851.43,28.3917,5.47421,43.4649,1.43397,0.0236359,2.71398
384536,0,32634.6,25687.0,23859.8,32634.4,25687.4,23857.4,29.3309,4.21597,49.4597,1.10766,0.0255246,2.94606
384709,0,22917.6,6302.14,28887.3,22926.7,6284.92,28896.8,25.866,1.98857,53.0428,0.399831,0.0161688,3.10188
384856,0,21184.5,719.914,14666.9,21167.6,723.8,14683.0,18.8057,2.09146,60.0313,0.160985,0.00659038,3.22651
385205,0,30813.8,21908.6,74.4365,30813.8,21915.0,65.5479,27.5371,5.44885,47.7599,1.14157,0.0192562,3.06487
385359,0,15589.5,32665.9,16060.1,15612.0,32667.8,16057.5,27.7434,3.2421,59.9263,0.324783,0.0120269,3.48617
385581,0,22768.9,27031.2,15666.6,22764.0,27031.9,15669.1,28.0555,4.74871,47.6704,0.887435,0.0193864,2.94768
385764,0,15819.9,23497.8,34410.7,15815.3,23493.2,34409.1,28.7744,5.66541,58.5152,0.804434,0.020191,3.03788
385987,0,9710.6,21313.6,16277.5,9726.79,21328.5,16267.7,21.4512,3.05786,53.874,0.568602,0.0232271,2.42438
386132,0,5889.39,18198.5,22777.5,5883.42,18199.4,22781.8,26.7643,7.32196,51.6637,0.859167,0.0173539,3.15943
386327,0,21999.5,4603.96,10603.0,21997.9,4600.3,10604.7,27.9403,5.54622,59.9944,0.857861,0.0198528,3.45628
386516,0,11774.6,5458.5,10143.8,11776.7,5457.72,10141.2,28.0508,3.95499,51.102,0.824008,0.0166591,3.06722
386960,0,30310.9,12249.5,7112.1,30309.5,12240.6,7115.08,10.0767,1.66317,38.276,0.089861,0.00601645,1.66798
